Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.ccc.json	25108	-	0	0	0	0	0	0	23	73	0	0	0	0	0	0	0	1	0	0	154	150	0	0	0	0	12	0	2
input/resources/activitydefinition/activitydefinition-Ccc.b10-14.symptoms.2m.p.json	2477	4	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	1	0	0
input/resources/activitydefinition/activitydefinition-Ccc.b10-16.signs.2m.p.json	2465	2	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0	0
input/resources/activitydefinition/activitydefinition-Ccc.b18-21.signs.2m.m.json	2465	3	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0	0
input/resources/activitydefinition/activitydefinition-Ccc.b18-21.symptoms.2m.m.json	2477	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	1	0	0
input/resources/activitydefinition/activitydefinition-Ccc.b22.assessmentstests.json	2477	2	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0	0
input/resources/activitydefinition/activitydefinition-Ccc.b22.breastfeeding.json	2465	1	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	1	0	0
input/resources/activitydefinition/activitydefinition-Ccc.b22.bronchodilatortest.json	2485	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0	0
input/resources/activitydefinition/activitydefinition-Ccc.b22.fluidtest.json	2449	1	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0
input/resources/activitydefinition/activitydefinition-Ccc.b22.hemoglobin.json	2453	2	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	1	0	0
input/resources/activitydefinition/activitydefinition-Ccc.b22.respiratoryrate.json	2473	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	14	7	0	0	0	0	0	0	0
input/resources/activitydefinition/activitydefinition-Ccc.b22.secondtemperature.json	2481	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	1	0	0
input/resources/activitydefinition/activitydefinition-Ccc.b23.classification.json	2469	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0	0
input/resources/activitydefinition/activitydefinition-Ccc.b23.classification.m.json	2477	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0	0
input/resources/activitydefinition/activitydefinition-Ccc.b6.measurements.json	2457	1	0	0	1	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	1	0	0
input/resources/activitydefinition/activitydefinition-Ccc.b7.lti-dangersigns.json	2469	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0	0
input/resources/activitydefinition/activitydefinition-Ccc.treatment.json	2433	1	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0	0
input/resources/activitydefinition/activitydefinition-Ccca.registration.p.json	2457	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	1	0	0
input/resources/activitydefinition/activitydefinition-Cccb.registration.e.json	2457	1	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0	0
input/resources/library/library-Ccc.b10-14.symptoms.2m.p.json	1156	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0
input/resources/library/library-Ccc.b10-16.signs.2m.p.json	5206	1	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	18	16	0	0	0	0	1	0	0
input/resources/library/library-Ccc.b18-21.signs.2m.m.json	2892	1	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0	0
input/resources/library/library-Ccc.b18-21.symptoms.2m.m.json	827	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	7	6	0	0	0	0	1	0	0
input/resources/library/library-Ccc.b22.assessmentstests.json	2865	1	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0	0
input/resources/library/library-Ccc.b22.breastfeeding.json	922	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0	0
input/resources/library/library-Ccc.b22.fluidtest.json	1115	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	1	0	0
input/resources/library/library-Ccc.b22.respiratoryrate.json	1439	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0
input/resources/library/library-Ccc.b22.secondtemperature.json	946	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0
input/resources/library/library-Ccc.b23.classification.json	11500	1	0	0	0	0	0	0	3	44	0	0	0	0	0	0	0	0	0	0	29	25	0	0	0	0	1	0	0
input/resources/library/library-Ccc.b23.classification.m.json	4240	1	0	0	1	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	21	11	0	0	0	0	1	0	0
input/resources/library/library-Ccc.b6.measurements.json	1488	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0	0
input/resources/library/library-Ccc.b7.lti-dangersigns.json	1309	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0	0
